"rank","drug","substance","event","peak_eb05","adj_eb05","n_methods_flagged","quarters","first_signal","latest_signal","first_approval","years_on_market","atc_class","triage","triage_reason","watch"
1,"sestamibi",,"Scan myocardial perfusion abnormal",45695.25,45695.25,3,4,"2021Q3","2022Q2",,,"Other antineoplastic agents (cont.)","","",""
2,"statrol",,"False negative investigation result",41656.92,41656.92,3,6,"2018Q2","2020Q1",,,"Other antineoplastic agents (cont.)","","",""
3,"ultra-technekow","sodium pertechnetate (99m tc)","Scan myocardial perfusion abnormal",41573.54,41573.54,3,4,"2020Q4","2021Q3",,,"","","",""
4,"bimatoprost","bimatoprost","Corneal endothelial cell loss",38509.66,38509.66,3,4,"2018Q2","2019Q1","2001-03-16",25.1,"Prostaglandin analogues","","",""
5,"radicut bag for i v infusion",,"Amyotrophic lateral sclerosis",35410.27,35410.27,4,15,"2017Q2","2021Q4",,,"Other antineoplastic agents (cont.)","","",""
6,"fedratinib","fedratinib","Vitamin B1 decreased",31307.3,31307.3,3,10,"2020Q1","2022Q2",,,"JAK inhibitors","","",""
7,"narcan","naloxone","Unintentional use for unapproved indication",29327.65,29327.65,4,13,"2018Q4","2022Q2",,,"Peripheral opioid receptor antagonists","","",""
8,"pitocin","oxytocin","Postpartum haemorrhage",29226.35,29226.35,4,7,"2017Q4","2022Q3","1982-01-01",44.3,"Oxytocin and analogues","","",""
9,"lopinavir ritonavir","lopinavir;ritonavir","Dyslipidaemia",29074.83,29074.83,4,18,"2013Q3","2022Q3",,,"","","",""
10,"bupivacaine hydrochloride anhydrous",,"Anaesthetic complication",28893.17,28893.17,3,7,"2020Q1","2021Q3",,,"Other antineoplastic agents (cont.)","","",""
11,"antihemophilic factor, porcine",,"Factor VIII inhibition",28147.96,28147.96,4,12,"2016Q2","2019Q1",,,"Other antineoplastic agents (cont.)","","",""
12,"dapsone","dapsone","Methaemoglobinaemia",28067.19,28067.19,4,14,"2018Q2","2022Q3","1982-01-01",44.3,"Other anti-acne preparations for topical use","","",""
13,"fedratinib","fedratinib","Vitamin B1 deficiency",27587.89,27587.89,3,9,"2020Q1","2022Q1",,,"JAK inhibitors","","",""
14,"voraxaze","glucarpidase","Laboratory test interference",26766.35,26766.35,4,10,"2018Q1","2022Q1",,,"Detoxifying agents for antineoplastic treatment","","",""
15,"cloruro de sodio usp",,"Pantoea agglomerans infection",26608.88,26608.88,3,5,"2020Q3","2021Q3",,,"Other antineoplastic agents (cont.)","","",""
16,"sinuva","mometasone","Nasal crusting",26488.59,26488.59,4,8,"2020Q4","2022Q3",,,"Corticosteroids, potent (group III)","","",""
17,"diluent glycerin",,"False positive investigation result",26472.97,26472.97,3,4,"2018Q2","2019Q1",,,"Other antineoplastic agents (cont.)","","",""
18,"technescan hdp","technetium tc 99m oxidronate","Bone scan abnormal",26236.93,26236.93,3,8,"2019Q4","2022Q3",,,"Technetium (99mTc) compounds, skeletal","","",""
19,"meningococcal group b vaccine","meningococcal vaccine","Meningococcal infection",24081.13,24081.13,4,12,"2018Q3","2021Q4",,,"Meningococcal vaccines","","",""
20,"curosurf","poractant alfa","Endotracheal intubation complication",22693.61,22693.61,4,6,"2021Q1","2022Q3",,,"","","",""
21,"sifrol","pramipexole","Impulse-control disorder",21765.9,21765.9,3,4,"2018Q2","2019Q1",,,"Dopamine agonists","","",""
22,"tae bulk 402","alternaria spp","Injection site dryness",21575.16,21575.16,3,3,"2018Q3","2019Q1",,,"","","",""
23,"meningococcal b recom vaccine aloh omv",,"Vaccination failure",21274.24,21274.24,4,11,"2016Q4","2020Q4",,,"Other antineoplastic agents (cont.)","","",""
24,"meningococcal b recom vaccine aloh omv",,"Meningococcal infection",20786.42,20786.42,4,12,"2016Q3","2020Q4",,,"Other antineoplastic agents (cont.)","","",""
25,"oxytocin sodium chloride - human compounded drug",,"Postpartum haemorrhage",20344.19,20344.19,3,1,"2024Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
26,"sb497115","eltrombopag","Clonal evolution",20218.93,20218.93,3,3,"2018Q4","2019Q4",,,"Other systemic hemostatics","","",""
27,"tenofovir disoproxil","tenofovir","Acute HIV infection",20191.54,20191.54,4,6,"2020Q1","2021Q2",,,"Nucleoside and nucleotide reverse transcriptase inhibitors","","",""
28,"ropivacaine pharmedium",,"Delayed recovery from anaesthesia",19928.04,19928.04,4,2,"2019Q4","2020Q1",,,"Other antineoplastic agents (cont.)","","",""
29,"prasugrel hydrochloride","prasugrel","Thrombotic cerebral infarction",19475.95,19475.95,3,10,"2016Q4","2019Q1","2009-07-10",16.8,"Platelet aggregation inhibitors excl. heparin","","",""
30,"givlaari","givosiran","Porphyria acute",19455.11,19455.11,4,12,"2020Q1","2024Q4",,,"Various alimentary tract and metabolism products","","",""
31,"blinded cariprazine hcl cap",,"Cataract nuclear",19185.06,19185.06,3,7,"2019Q4","2021Q2",,,"Other antineoplastic agents (cont.)","","",""
32,"anti-inhibitor coagulant complex","factor viii inhibitor bypassing fraction","Anti factor VIII antibody positive",18943.54,18943.54,4,3,"2022Q1","2022Q3",,,"Blood coagulation factors","","",""
33,"klacid polvere e solvente per soluzione per infusione",,"Injection site phlebitis",18754.83,18754.83,3,4,"2020Q1","2020Q4",,,"Other antineoplastic agents (cont.)","","",""
34,"blinded no treatment received","placebo, trial","Infective exacerbation of bronchiectasis",18467.22,18467.22,3,4,"2017Q4","2018Q3",,,"","","",""
35,"viagra","sildenafil","Erection increased",18018.56,18018.56,4,16,"2018Q2","2022Q3",,,"Drugs used in erectile dysfunction","","",""
36,"gold bond original strength powder","menthol","Mesothelioma",17903.35,17903.35,4,17,"2018Q1","2022Q3",,,"","","",""
37,"donepezil hydrochloride","donepezil","Cholinergic syndrome",17830.84,17830.84,3,4,"2020Q2","2021Q1","1996-11-25",29.4,"Anticholinesterases","","",""
38,"talc","talc","Exposure to chemical pollution",17763.69,17763.69,4,8,"2020Q2","2024Q4","1997-12-24",28.3,"","","",""
39,"sb497115","eltrombopag","Cytogenetic abnormality",17736.26,17736.26,4,3,"2018Q4","2019Q4",,,"Other systemic hemostatics","","",""
40,"propess","dinoprostone","Foetal heart rate deceleration abnormality",17637.35,17637.35,4,6,"2020Q3","2021Q4","1982-01-01",44.3,"Prostaglandins","","",""
41,"cardiogen-82","rubidium (82 rb) chloride","Radiation overdose",17606.52,17606.52,3,2,"2018Q4","2019Q1",,,"","","",""
42,"photrexa viscous","dextran;vitamin b2","Corneal epithelium defect",17343.61,17343.61,4,6,"2018Q3","2022Q1",,,"","","",""
43,"multitrace-4","chromium;copper;manganese;zinc","Incorrect product formulation administered",16969.88,16969.88,4,2,"2019Q4","2020Q1",,,"","","",""
44,"sevoflurane baxter ml liquide pour par vapeur",,"Nephrogenic diabetes insipidus",16923.19,16923.19,3,4,"2020Q2","2021Q1",,,"Other antineoplastic agents (cont.)","","",""
45,"kinevac","sincalide","Hepatobiliary scan abnormal",16788.89,16788.89,3,2,"2018Q4","2019Q1","1982-01-01",44.3,"Tests for bile duct patency","","",""
46,"yosprala","acetylsalicylic acid;omeprazole","Aspirin-exacerbated respiratory disease",16645.36,16645.36,3,2,"2018Q4","2019Q1",,,"","","",""
47,"kaletra","lopinavir;ritonavir","Dyslipidaemia",16635.78,16635.78,4,6,"2019Q1","2024Q4",,,"","","",""
48,"tylenol regular strength","paracetamol","Autism spectrum disorder",16592.22,16592.22,4,77,"2003Q1","2022Q3",,,"Anilides","","",""
49,"allergenic extract- peanut arachis hypogaea","allergens, peanuts","False negative investigation result",16301.09,16301.09,4,2,"2022Q2","2022Q3",,,"","","",""
50,"belatacept","belatacept","Graft loss",16209.35,16209.35,4,4,"2018Q2","2019Q1",,,"Selective immunosuppressants","","",""
51,"fenfluramine hydrochloride","fenfluramine","Echocardiogram abnormal",16147.73,16119.08,4,4,"2017Q2","2018Q1","2020-06-25",5.8,"Centrally acting antiobesity products","","",""
52,"blinded bimatoprost ins",,"Corneal endothelial cell loss",16037.67,16037.67,3,3,"2019Q4","2020Q2",,,"Other antineoplastic agents (cont.)","","",""
53,"curosurf","poractant alfa","Neonatal pneumothorax",16032.56,16032.56,3,5,"2019Q4","2020Q4",,,"","","",""
54,"dabigatran etexilate mesylate","dabigatran","Cardiac tamponade",15925.4,15925.4,4,9,"2020Q4","2024Q4","2010-10-19",15.5,"Direct thrombin inhibitors","known_published","Anticoagulants cause bleeding including hemopericardium. Multiple published case reports (PMID:22786838, 26798391, 29259514). Well-known class risk despite being absent from the specific labeled AE list; not a novel finding.",""
55,"tenecteplase","tenecteplase","Neurological decompensation",15903.39,15903.39,4,13,"2018Q2","2022Q3",,,"Enzymes","","",""
56,"voretigene neparvovec","voretigene neparvovec","Injection site atrophy",15828.35,15828.35,4,9,"2019Q4","2021Q4",,,"Other ophthalmologicals","","",""
57,"luxturna","voretigene neparvovec","Retinal depigmentation",15811.07,15811.07,3,4,"2020Q1","2020Q4",,,"Other ophthalmologicals","","",""
58,"enasidenib","enasidenib","Differentiation syndrome",15675.7,15675.7,4,10,"2019Q4","2022Q3",,,"Isocitrate dehydrogenase (IDH) inhibitors","","",""
59,"voretigene neparvovec","voretigene neparvovec","Retinal degeneration",15659.88,15659.88,4,9,"2020Q1","2022Q1",,,"Other ophthalmologicals","","",""
60,"intralipid","unsaturated fatty acids","Neonatal infection",15596.61,15596.61,4,4,"2018Q2","2019Q1",,,"Other lipid modifying agents","","",""
61,"alprolix","factor ix","Factor IX inhibition",15575.8,15575.8,3,9,"2016Q1","2018Q3",,,"Blood coagulation factors","","",""
62,"bacteriostatic sodium chloride","sodium chloride","Suspected product contamination",15573.43,15573.43,3,4,"2019Q4","2020Q3","1982-01-01",44.3,"Sodium","","",""
63,"aplisol","tuberculin","False positive tuberculosis test",15295.6,15295.6,3,7,"2018Q2","2020Q2",,,"Tuberculosis diagnostics","","",""
64,"brineura","cerliponase alfa","CSF culture positive",15254.13,15254.13,3,3,"2018Q3","2019Q1",,,"Enzymes","","",""
65,"aducanumab","aducanumab","Amyloid related imaging abnormality-oedema/effusion",15196.55,15196.55,4,6,"2021Q2","2022Q3",,,"Other anti-dementia drugs","","",""
66,"zolmitriptan","zolmitriptan","Renal infarct",15169.07,15169.07,4,5,"2021Q2","2022Q2","1997-11-25",28.4,"Selective serotonin (5HT1) agonists","","",""
67,"esperoct","factor viii","Coagulation factor VIII level decreased",15080.62,15080.62,3,4,"2021Q3","2022Q2",,,"Blood coagulation factors","","",""
68,"prostin e2","dinoprostone","Bradycardia foetal",15077.95,15077.95,3,3,"2018Q3","2019Q1","1982-01-01",44.3,"Prostaglandins","","",""
69,"maci","chondrocytes;collagen","Graft delamination",15074.72,15074.72,3,6,"2020Q3","2021Q4",,,"","","",""
70,"simulect","basiliximab","Kidney transplant rejection",14973.99,14973.99,4,20,"2013Q4","2022Q3",,,"Interleukin inhibitors","","",""
71,"istodax","romidepsin","Peripheral T-cell lymphoma unspecified",14948.94,14948.94,4,12,"2018Q2","2021Q4","2009-11-05",16.5,"Histone deacetylase (HDAC) inhibitors","","",""
72,"myxredlin","insulin","Increased insulin requirement",14876.61,14876.61,3,2,"2022Q2","2022Q3",,,"","","",""
73,"dilantin","phenytoin","Cerebellar atrophy",14836.79,14836.79,4,29,"2009Q4","2020Q2","1982-01-01",44.3,"Hydantoin derivatives","","",""
74,"elmiron","pentosan polysulfate","Maculopathy",14836.16,14836.16,4,77,"2003Q1","2022Q3",,,"Heparins or heparinoids for topical use","","",""
75,"vancomicina hikma","vancomycin","Peritoneal effluent leukocyte count increased",14862.37,14777.48,3,2,"2019Q4","2020Q1","2021-08-26",4.7,"Antibiotics","","",""
76,"dolutegravir lamivudine tenofovir disoproxil fumarate",,"Nephropathy toxic",14571.99,14571.99,4,5,"2021Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
77,"abrocitinib","abrocitinib","Eczema herpeticum",14673.82,14550.51,4,4,"2020Q1","2020Q4","2022-01-14",4.3,"Agents for dermatitis, excluding corticosteroids","","",""
78,"orfadin","nitisinone","Amino acid level increased",14489.87,14489.87,4,29,"2012Q1","2019Q4","2002-01-18",24.3,"Various alimentary tract and metabolism products","","",""
79,"sevoflurane","sevoflurane","Nephrogenic diabetes insipidus",14478.91,14478.91,4,10,"2020Q2","2022Q3","1995-06-07",30.9,"Halogenated hydrocarbons","pending","Documented in anesthesia literature (several case reports) but not widely in labels. Worth deeper PubMed review before classifying.","yes"
80,"myoview","technetium tc 99m tetrofosmin","Radioisotope scan abnormal",14448.56,14448.56,4,18,"2018Q1","2024Q4",,,"Technetium (99mTc) compounds","","",""
81,"brevital sodium","methohexital","Unwanted awareness during anaesthesia",14430.42,14430.42,3,4,"2020Q1","2020Q4",,,"Barbiturates, plain","","",""
82,"piasky","crovalimab","Type III immune complex mediated reaction",14211.51,14211.51,3,1,"2024Q4","2024Q4",,,"Complement inhibitors","","",""
83,"neoprofen","ibuprofen","Posthaemorrhagic hydrocephalus",14106.53,14106.53,3,9,"2018Q3","2022Q1","1982-01-01",44.3,"Other cardiac preparations","","",""
84,"aduhelm","aducanumab","Amyloid related imaging abnormality-oedema/effusion",14055.83,14055.83,4,7,"2021Q1","2022Q3",,,"Other anti-dementia drugs","","",""
85,"epinephrine lidocaine hydrochloride",,"Vasoconstriction",13956.82,13956.82,3,3,"2018Q3","2019Q1",,,"Other antineoplastic agents (cont.)","","",""
86,"col optic white prof kit in-office",,"Gingival discomfort",13941.8,13941.8,4,3,"2019Q4","2020Q2",,,"Other antineoplastic agents (cont.)","","",""
87,"triferic","iron","Thrombosis in device",13592.57,13592.57,4,4,"2021Q1","2021Q4",,,"","","",""
88,"nitrous oxide","nitrous oxide","PCO2 increased",13394.34,13394.34,3,4,"2018Q1","2018Q4",,,"Other general anesthetics","","",""
89,"tice bcg","bcg vaccine","Bladder cancer recurrent",13263.73,13263.73,4,16,"2018Q1","2022Q3",,,"Other immunostimulants","","",""
90,"zolmitriptan","zolmitriptan","Tricuspid valve disease",13181.78,13181.78,4,3,"2019Q4","2020Q2","1997-11-25",28.4,"Selective serotonin (5HT1) agonists","","",""
91,"gonal f","follitropin","Abortion missed",13172.56,13172.56,3,4,"2016Q4","2017Q3",,,"Gonadotropins","","",""
92,"g-lasta","pegfilgrastim","Colony stimulating factor therapy",13143.18,13143.18,3,7,"2018Q2","2020Q2",,,"Colony stimulating factors","","",""
93,"cervidil","dinoprostone","Uterine hyperstimulation",13078.81,13078.81,3,5,"2018Q1","2019Q1","1982-01-01",44.3,"Prostaglandins","","",""
94,"heparin","heparin","Heparin-induced thrombocytopenia",13075.98,13075.98,4,18,"2017Q4","2022Q3",,,"Heparin group","","",""
95,"afstyla antihemophilic factor single chain",,"Inhibiting antibodies positive",12891.38,12891.38,3,4,"2016Q4","2017Q3",,,"Other antineoplastic agents (cont.)","","",""
96,"luxturna","voretigene neparvovec","Chorioretinal atrophy",12880.37,12880.37,4,4,"2019Q4","2020Q3",,,"Other ophthalmologicals","","",""
97,"dianeal","glucose;magnesium;sodium chloride;sodium lactate","Abdominal infection",12863.09,12863.09,4,10,"2020Q2","2022Q3",,,"","","",""
98,"cetrotide","cetrorelix","Premature ovulation",12811.52,12811.52,3,2,"2019Q4","2020Q1",,,"Anti-gonadotropin-releasing hormones","","",""
99,"androgel","testosterone","Blood testosterone decreased",12647.19,12647.19,4,18,"2014Q1","2021Q2","1982-01-01",44.3,"3-oxoandrosten (4) derivatives","","",""
100,"sensipar","cinacalcet","Renal transplant",12529.68,12529.68,4,8,"2017Q1","2019Q1",,,"Other anti-parathyroid agents","","",""
101,"elmiron","pentosan polysulfate","Retinal pigmentation",12525.7,12525.7,3,77,"2003Q1","2022Q3",,,"Heparins or heparinoids for topical use","","",""
102,"eslax","rocuronium","Recurrence of neuromuscular blockade",12502.04,12502.04,4,2,"2018Q4","2019Q1",,,"Other quaternary ammonium compounds","","",""
103,"liquid oxygen","oxygen","Respiratory fume inhalation disorder",12502.04,12502.04,4,2,"2018Q4","2019Q1",,,"Medical gases","","",""
104,"clavamox","amoxicillin;clavulanic acid","Type IV hypersensitivity reaction",12486.59,12486.59,3,2,"2019Q1","2019Q4",,,"","","",""
105,"orbactiv","oritavancin","Vancomycin infusion reaction",12429.64,12429.64,4,4,"2021Q3","2022Q2",,,"Glycopeptide antibacterials","","",""
106,"patanol","olopatadine","Alopecia areata",12347.6,12347.6,4,4,"2017Q2","2021Q4",,,"Antiallergic agents, excl. corticosteroids","","",""
107,"prasugrel hydrochloride","prasugrel","Vascular stent thrombosis",12326.45,12326.45,4,7,"2018Q4","2022Q3","2009-07-10",16.8,"Platelet aggregation inhibitors excl. heparin","","",""
108,"photrexa viscous","dextran;vitamin b2","Corneal infiltrates",12316.94,12316.94,3,7,"2019Q1","2022Q3",,,"","","",""
109,"ropinirole","ropinirole","Limbic encephalitis",12297.58,12297.58,3,4,"2019Q4","2020Q3",,,"Dopamine agonists","","",""
110,"edaravone","edaravone","Amyotrophic lateral sclerosis",12295.3,12294.35,4,3,"2022Q2","2024Q4","2017-05-05",9,"Other nervous system drugs","","",""
111,"azithromycin","azithromycin","Deafness bilateral",12289.29,12289.29,4,5,"2016Q4","2024Q4","1991-11-01",34.5,"Macrolides","known_class","Macrolide ototoxicity is labeled since 1994. Reversible or irreversible sensorineural hearing loss documented across macrolides (PMID:10778901). Systematic review in Sci Rep 2023.",""
112,"abacavir sulfate dolutegravir sodium lamivudine",,"Syphilis",12272.31,12272.31,4,7,"2017Q2","2022Q2",,,"Other antineoplastic agents (cont.)","","",""
113,"orgaran","danaparoid","Ovarian hyperstimulation syndrome",12261.81,12261.81,4,31,"2014Q2","2024Q4",,,"Heparin group","","",""
114,"ipi-145","duvelisib","Enteritis infectious",12186.46,12182.71,3,4,"2020Q3","2021Q2","2018-09-24",7.6,"Pi3K inhibitors","","",""
115,"leuplin","leuprorelin","Marasmus",12176.62,12176.62,4,5,"2020Q3","2021Q3",,,"Gonadotropin releasing hormone analogues","","",""
116,"atropine","atropine","Anticholinergic syndrome",12163.29,12163.29,4,7,"2020Q4","2022Q2","1982-01-01",44.3,"Belladonna alkaloids, tertiary amines","","",""
117,"mogamulizumab","mogamulizumab","Adult T-cell lymphoma/leukaemia recurrent",12144.71,12144.71,3,4,"2019Q4","2020Q3",,,"Other monoclonal antibodies and antibody drug conjugates","","",""
118,"valacyclovir hydrochloride","valaciclovir","Intraductal papillary mucinous neoplasm",12136.19,12136.19,4,4,"2020Q1","2020Q4","1995-06-23",30.8,"Nucleosides and nucleotides excl. reverse transcriptase inhibitors","","",""
119,"sayana press","medroxyprogesterone","Injection site indentation",12134.49,12134.49,3,4,"2018Q1","2018Q4",,,"Progestogens","","",""
120,"iluvien","fluocinolone","Glaucoma drainage device placement",12108.15,12108.15,3,5,"2018Q2","2019Q4",,,"Corticosteroids","","",""
121,"givlaari","givosiran","Blood homocysteine increased",12032.41,12032.41,3,6,"2021Q1","2024Q4",,,"Various alimentary tract and metabolism products","","",""
122,"xenical","orlistat","Steatorrhoea",11935.33,11935.33,4,4,"2017Q2","2018Q1","1999-04-23",27,"Peripherally acting antiobesity products","","",""
123,"ranibizumab","ranibizumab","Conjunctival erosion",11928.95,11928.95,3,7,"2021Q1","2022Q3",,,"Antineovascularisation agents","procedural","Intravitreal Lucentis (ranibizumab) injection site effect — procedural complication of repeated injections, not a pharmacologic signal.",""
124,"ovitrelle","chorionic gonadotrophin","Ovarian hyperstimulation syndrome",11919.4,11919.4,4,18,"2017Q1","2021Q4",,,"Gonadotropins","","",""
125,"elzonris","tagraxofusp","Capillary leak syndrome",11895.24,11895.24,4,12,"2019Q4","2022Q3",,,"Other antineoplastics","","",""
126,"dextenza","dexamethasone","Iris adhesions",11885.3,11885.3,3,1,"2024Q4","2024Q4","1982-01-01",44.3,"Corticosteroids for local oral treatment","","",""
127,"abacavirsulphate dolutegravir lamivudine",,"Psychiatric decompensation",11868.83,11868.83,3,4,"2016Q4","2017Q3",,,"Other antineoplastic agents (cont.)","","",""
128,"drospirenone ethinyl estradiol","drospirenone;ethinylestradiol","Pregnancy on oral contraceptive",11830.19,11830.19,3,3,"2022Q1","2022Q3",,,"","","",""
129,"brineura","cerliponase alfa","Pleocytosis",11769.83,11769.83,3,3,"2018Q3","2019Q1",,,"Enzymes","","",""
130,"yasmin","drospirenone;ethinylestradiol","Abnormal withdrawal bleeding",11717.37,11717.37,4,7,"2020Q4","2022Q2",,,"","","",""
131,"sodium bicarbonate","sodium bicarbonate","Therapeutic product ineffective for unapproved indication",11695.14,11695.14,3,1,"2024Q4","2024Q4","1986-06-03",39.9,"Salt solutions","","",""
132,"spevigo","spesolimab","Generalised pustular psoriasis",11665.24,11665.24,3,1,"2024Q4","2024Q4",,,"","","",""
133,"curosurf","poractant alfa","Pulmonary haemorrhage neonatal",11654.63,11654.63,4,7,"2019Q4","2024Q4",,,"","","",""
134,"uplizna","inebilizumab","Neuromyelitis optica spectrum disorder",11651.33,11651.33,4,7,"2021Q2","2024Q4",,,"Monoclonal antibodies","","",""
135,"upadacitinib","upadacitinib","Herpes zoster cutaneous disseminated",11652.48,11643.73,3,7,"2019Q4","2021Q4","2019-08-16",6.7,"JAK inhibitors","","",""
136,"ethinyl estradiol levonorgestrel",,"Bronchial carcinoma",11603.25,11603.25,4,4,"2018Q1","2018Q4",,,"Other antineoplastic agents (cont.)","","",""
137,"dinoprostone","dinoprostone","Uterine hyperstimulation",11595.51,11595.51,3,1,"2024Q4","2024Q4","1982-01-01",44.3,"Prostaglandins","","",""
138,"nesp","darbepoetin alfa","Aplasia pure red cell",11563.15,11563.15,4,8,"2018Q2","2020Q4",,,"Other antianemic preparations","","",""
139,"ranibizumab","ranibizumab","Conjunctival bleb",11553.29,11553.29,3,6,"2021Q2","2022Q3",,,"Antineovascularisation agents","procedural","Injection-site bleb after intravitreal ranibizumab — procedural/local.",""
140,"vijoice","alpelisib","Growth retardation",11536.45,11529.57,4,6,"2020Q3","2021Q4","2019-05-24",6.9,"Pi3K inhibitors","","",""
141,"givlaari","givosiran","Hyperhomocysteinaemia",11521.52,11521.52,3,4,"2020Q3","2021Q2",,,"Various alimentary tract and metabolism products","","",""
142,"pioglitazone","pioglitazone","Bladder transitional cell carcinoma",11465.41,11465.41,4,4,"2021Q2","2022Q1",,,"Thiazolidinediones","","",""
143,"entecavir","entecavir","Pulmonary microemboli",11456.87,11456.87,3,4,"2020Q2","2021Q1","2005-03-29",21.1,"Nucleoside and nucleotide reverse transcriptase inhibitors","","",""
144,"pirfenidone","pirfenidone","Forced vital capacity decreased",11437.81,11437.74,3,2,"2022Q2","2022Q3","2014-10-15",11.5,"Other immunosuppressants","","",""
145,"lumoxiti","moxetumomab pasudotox","Haemolytic uraemic syndrome",11395.47,11395.47,3,5,"2020Q2","2022Q1",,,"CD22 (Clusters of Differentiation 22) inhibitors","","",""
146,"aveed","testosterone","Pulmonary oil microembolism",11384.34,11384.34,3,6,"2018Q2","2021Q3","1982-01-01",44.3,"3-oxoandrosten (4) derivatives","","",""
147,"epinephrine injection usp","epinephrine","Corneal oedema",11300.04,11300.04,4,4,"2021Q2","2022Q1","1982-01-01",44.3,"Other agents for local oral treatment","","",""
148,"meningococcal group b vaccine","meningococcal vaccine","Vaccination failure",11103.26,11103.26,4,10,"2019Q1","2021Q4",,,"Meningococcal vaccines","","",""
149,"neoprofen","ibuprofen","Bronchopulmonary dysplasia",11044.24,11044.24,4,11,"2019Q4","2022Q2","1982-01-01",44.3,"Other cardiac preparations","","",""
150,"uromitexan","mesna","Oedema mucosal",11017.98,11017.98,4,4,"2020Q2","2021Q1","1988-12-30",37.3,"Mucolytics","","",""
151,"nicorette","nicotine","Nicotine dependence",11008.16,11008.16,4,8,"2019Q4","2022Q3","1996-03-22",30.1,"Drugs used in nicotine dependence","","",""
152,"juxtapid","lomitapide","Diet noncompliance",10976.72,10976.72,4,16,"2018Q2","2022Q3",,,"Other lipid modifying agents","","",""
153,"zypadhera","olanzapine","Post-injection delirium sedation syndrome",10949.92,10949.92,4,26,"2015Q4","2022Q3","1996-09-30",29.6,"Diazepines, oxazepines, thiazepines and oxepines","","",""
154,"benicar hct","hydrochlorothiazide;olmesartan","Sprue-like enteropathy",10929.3,10929.3,4,62,"2003Q1","2018Q2",,,"","","",""
155,"regranex","becaplermin","Wound complication",10919.25,10919.25,4,8,"2017Q4","2020Q2",,,"Other agents for local oral treatment","","",""
156,"posluma",,"Positron emission tomogram abnormal",10846.94,10846.94,3,1,"2024Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
157,"gonal f","follitropin","Ovarian hyperstimulation syndrome",10820.04,10820.04,4,22,"2017Q1","2024Q4",,,"Gonadotropins","","",""
158,"semaglutide b ml pds290",,"Bile duct stone",10797.48,10797.48,4,9,"2019Q4","2021Q4",,,"Other antineoplastic agents (cont.)","","",""
159,"kratom","mitragyna spp","Accidental death",10790.11,10790.11,4,13,"2016Q1","2019Q1",,,"","","",""
160,"jantoven","warfarin","International normalised ratio decreased",10754.65,10754.65,4,10,"2020Q3","2024Q4",,,"Vitamin K antagonists","","",""
161,"varenicline tartrate","varenicline","Dependence",10681.65,10681.65,4,4,"2021Q3","2022Q2","2006-05-10",20,"Drugs used in nicotine dependence","","",""
162,"fyremadel","ganirelix","Ovarian hyperstimulation syndrome",10673.45,10673.45,4,12,"2018Q4","2022Q1",,,"Anti-gonadotropin-releasing hormones","","",""
163,"smoflipid","glycine spp;olea spp;triglycerides, unspecified;unsaturated fatty acids","Citrobacter infection",10661.09,10661.09,3,4,"2017Q4","2018Q3",,,"","","",""
164,"abacavir sulfate dolutegravir sodium lamivudine",,"Viral mutation identified",10538.54,10538.54,4,8,"2020Q1","2022Q3",,,"Other antineoplastic agents (cont.)","","",""
165,"dayvigo","lemborexant","Sleep paralysis",10503.91,10488.9,4,10,"2020Q3","2024Q4","2020-04-07",6,"Orexin receptor antagonists","","",""
166,"emtricitabine tenofovir",,"Syphilis",10472.72,10472.72,4,8,"2017Q2","2019Q1",,,"Other antineoplastic agents (cont.)","","",""
167,"radicut","edaravone","Amyotrophic lateral sclerosis",10437.62,10436.82,4,4,"2018Q2","2019Q1","2017-05-05",9,"Other nervous system drugs","","",""
168,"dae bulk 503",,"False negative investigation result",10418.58,10418.58,3,4,"2019Q4","2020Q3",,,"Other antineoplastic agents (cont.)","","",""
169,"tenecteplase","tenecteplase","Stroke in evolution",10395.9,10395.9,4,6,"2019Q4","2022Q2",,,"Enzymes","","",""
170,"tolterodine","tolterodine","Oesophageal obstruction",10364.58,10364.58,3,4,"2021Q2","2022Q1",,,"Drugs for urinary frequency and incontinence","","",""
171,"emtricitabine tenofovir disoproxil",,"Polydactyly",10353.46,10353.46,4,5,"2021Q2","2022Q2",,,"Other antineoplastic agents (cont.)","","",""
172,"faricimab","faricimab","Retinal pigment epithelial tear",10300.86,10300.86,3,4,"2019Q4","2020Q3",,,"Antineovascularisation agents","","",""
173,"investigational biosimilars","biosimilars, unspecified","HER2 positive gastric cancer",10296.32,10296.32,4,10,"2020Q1","2022Q2",,,"","","",""
174,"propess","dinoprostone","Neonatal asphyxia",10282.26,10282.26,4,3,"2020Q4","2021Q2","1982-01-01",44.3,"Prostaglandins","","",""
175,"propess","dinoprostone","Meconium in amniotic fluid",10254.22,10254.22,3,4,"2018Q2","2019Q1","1982-01-01",44.3,"Prostaglandins","","",""
176,"actos","pioglitazone","Bladder transitional cell carcinoma",10253.84,10253.84,4,27,"2011Q1","2018Q3",,,"Thiazolidinediones","","",""
177,"optiray 300","ioversol","Carotid artery thrombosis",10247.16,10247.16,3,4,"2020Q1","2020Q4","1988-12-30",37.3,"Watersoluble, nephrotropic, low osmolar X-ray contrast media","","",""
