"rank","drug","substance","event","peak_eb05","adj_eb05","n_methods_flagged","quarters","first_signal","latest_signal","first_approval","years_on_market","atc_class","triage","triage_reason","watch"
868,"dolutegravir sodium","dolutegravir","Viral mutation identified",5081.28,5081.27,4,6,"2021Q2","2022Q3","2013-08-12",12.7,"Integrase inhibitors","","",""
869,"sevoflurane","sevoflurane","Single umbilical artery",5079.01,5079.01,4,4,"2019Q4","2020Q3","1995-06-07",30.9,"Halogenated hydrocarbons","","",""
870,"alendronic acid","alendronic acid","Atypical femur fracture",5067.9,5067.9,4,21,"2011Q4","2021Q3",,,"Bisphosphonates","","",""
871,"iluvien","fluocinolone","Trabeculectomy",5067.21,5067.21,3,5,"2016Q2","2022Q3",,,"Corticosteroids","","",""
872,"yasmin","drospirenone;ethinylestradiol","Pregnancy on oral contraceptive",5059.53,5059.53,4,4,"2019Q4","2020Q3",,,"","","",""
873,"hydroxyzine","hydroxyzine","Congenital central nervous system anomaly",5058.03,5058.03,3,4,"2019Q4","2020Q3",,,"Diphenylmethane derivatives","","",""
874,"hydroxyzine","hydroxyzine","Spine malformation",5058.03,5058.03,3,4,"2019Q4","2020Q3",,,"Diphenylmethane derivatives","","",""
875,"abacavir sulfate lamivudine",,"Hypersplenism",5056.49,5056.49,4,4,"2021Q2","2022Q1",,,"Other antineoplastic agents (cont.)","","",""
876,"ceftazidime avibactam - bp",,"Hypernatraemia",5052.31,5052.31,4,4,"2018Q1","2018Q4",,,"Other antineoplastic agents (cont.)","","",""
877,"paliperidone","paliperidone","Hyperprolactinaemia",5051.51,5051.51,4,2,"2020Q2","2020Q3","2006-12-19",19.3,"Other antipsychotics","","",""
878,"rocuronium bromide","rocuronium","Electrocardiogram ST-T change",5047.55,5047.55,4,3,"2019Q4","2020Q2","1994-03-17",32.1,"Other quaternary ammonium compounds","","",""
879,"ovitrelle","chorionic gonadotrophin","Adnexal torsion",5046.12,5046.12,3,2,"2018Q3","2018Q4",,,"Gonadotropins","","",""
880,"elotuzumab","elotuzumab","Febrile infection",5040.59,5040.59,4,2,"2022Q2","2022Q3",,,"Other monoclonal antibodies and antibody drug conjugates","","",""
881,"gilteritinib","gilteritinib","Differentiation syndrome",5038.59,5038.59,4,7,"2020Q3","2022Q3",,,"Other protein kinase inhibitors","","",""
882,"xofluza","baloxavir marboxil","Colitis ischaemic",5039.36,5037.68,4,3,"2019Q1","2024Q4","2018-10-24",7.5,"Other antivirals","","",""
883,"lovenox","enoxaparin","Heparin-induced thrombocytopenia",5031.59,5031.59,4,17,"2018Q2","2024Q4",,,"Heparin group","","",""
884,"delflex with dextrose low magnesium low calcium",,"Fungal peritonitis",5030.57,5030.57,4,13,"2019Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
885,"levocetirizine dihydrochloride","levocetirizine","Trisomy 18",5027.7,5027.7,4,4,"2017Q3","2018Q2","2007-05-25",18.9,"Piperazine derivatives","","",""
886,"rasagiline","rasagiline","Orthostatic intolerance",5020.33,5020.33,3,4,"2016Q3","2017Q2",,,"Monoamine oxidase B inhibitors","","",""
887,"losartan and hydrochlorothiazide","hydrochlorothiazide;losartan","Ligament disorder",5013.32,5013.32,3,4,"2016Q2","2017Q1",,,"","","",""
888,"memantine","memantine","Volvulus",5008.72,5008.72,4,4,"2017Q2","2018Q1",,,"Other anti-dementia drugs","","",""
889,"methylprednisolone","methylprednisolone","Drug-induced liver injury",4994.58,4994.58,4,17,"2012Q1","2022Q3","1982-01-01",44.3,"Corticosteroids, weak (group I)","","",""
890,"idelvion","factor ix","Traumatic haemorrhage",4994.06,4994.06,4,16,"2017Q4","2024Q4",,,"Blood coagulation factors","","",""
891,"iluvien","fluocinolone","Hypotony of eye",4993.71,4993.71,4,5,"2020Q4","2024Q4",,,"Corticosteroids","","",""
892,"omidria","ketorolac;phenylephrine","Vitritis",4989.12,4989.12,3,4,"2020Q3","2021Q2",,,"","","",""
893,"epirubicin","epirubicin","Hyperammonaemia",4985.44,4985.44,4,4,"2014Q2","2015Q1",,,"Anthracyclines and related substances","","",""
894,"clobetasol","clobetasol","Central serous chorioretinopathy",4983.27,4983.27,4,3,"2022Q1","2022Q3",,,"Corticosteroids, very potent (group IV)","","",""
895,"ustekinumab","ustekinumab","Anal abscess",4982.73,4982.73,4,24,"2010Q2","2019Q1",,,"Interleukin inhibitors","","",""
896,"lamisil","terbinafine","Chemical burn",4982.62,4982.62,4,1,"2022Q3","2022Q3","1998-04-29",28,"Other antifungals for topical use","","",""
897,"dianeal low calcium peritoneal dialysis solution with dextrose","glucose;magnesium;sodium chloride;sodium lactate","Ultrafiltration failure",4960.25,4960.25,4,17,"2018Q1","2022Q3",,,"","","",""
898,"lisinopril","lisinopril","Lip oedema",4953.89,4953.89,4,7,"2011Q3","2020Q2","1987-12-29",38.3,"ACE inhibitors, plain","","",""
